Gene	Gene.name	Tissue	nTPM	brain_2	brain_1
ENSG00000112530	PACRG	amygdala	8.8	Brain	Brain
ENSG00000112531	QKI	amygdala	153	Brain	Brain
ENSG00000112539	C6orf118	choroid plexus	9.7	Brain	Brain
ENSG00000112541	PDE10A	basal ganglia	22.2	Brain	Brain
ENSG00000112559	MDFI	amygdala	7.3	Brain	Brain
ENSG00000112561	TFEB	amygdala	20.8	Brain	Brain
ENSG00000112562	SMOC2	basal ganglia	8.1	Brain	Brain
ENSG00000112576	CCND3	amygdala	53	Brain	Brain
ENSG00000112578	BYSL	cerebral cortex	5.3	Brain	Brain
ENSG00000112584	FAM120B	amygdala	9.6	Brain	Brain
ENSG00000112592	TBP	amygdala	7.8	Brain	Brain
ENSG00000112624	BICRAL	cerebellum	13.5	Brain	Brain
ENSG00000112640	PPP2R5D	amygdala	23	Brain	Brain
ENSG00000112651	MRPL2	amygdala	29.4	Brain	Brain
ENSG00000112655	PTK7	cerebellum	6.3	Brain	Brain
ENSG00000112658	SRF	amygdala	14.8	Brain	Brain
ENSG00000112667	DNPH1	amygdala	95.6	Brain	Brain
ENSG00000112679	DUSP22	amygdala	24.5	Brain	Brain
ENSG00000112685	EXOC2	amygdala	9.1	Brain	Brain
ENSG00000112695	COX7A2	amygdala	431.4	Brain	Brain
ENSG00000112697	TMEM30A	amygdala	56.4	Brain	Brain
ENSG00000112699	GMDS	amygdala	8.5	Brain	Brain
ENSG00000112701	SENP6	amygdala	14.1	Brain	Brain
ENSG00000112706	IMPG1	basal ganglia	6.5	Brain	Brain
ENSG00000112715	VEGFA	amygdala	22.2	Brain	Brain
ENSG00000112759	SLC29A1	basal ganglia	10.3	Brain	Brain
ENSG00000112763	BTN2A1	amygdala	9.4	Brain	Brain
ENSG00000112769	LAMA4	amygdala	12.2	Brain	Brain
ENSG00000112773	TENT5A	choroid plexus	6	Brain	Brain
ENSG00000112787	FBRSL1	amygdala	18.5	Brain	Brain
ENSG00000112796	ENPP5	amygdala	6.2	Brain	Brain
ENSG00000112799	LY86	amygdala	6.7	Brain	Brain
ENSG00000112851	ERBIN	amygdala	44	Brain	Brain
ENSG00000112855	HARS2	amygdala	15.2	Brain	Brain
ENSG00000112874	NUDT12	amygdala	5.5	Brain	Brain
ENSG00000112893	MAN2A1	cerebral cortex	8.6	Brain	Brain
ENSG00000112902	SEMA5A	amygdala	6.3	Brain	Brain
